title,url,heads,bolds
Trains,https://www.japan-guide.com/e/e2019.html,,
Shinkansen,https://www.japan-guide.com/e/e2018.html,,
Night Trains,https://www.japan-guide.com/e/e2356.html,,
Taking the train,https://www.japan-guide.com/e/e2016.html,,
Timetables,https://www.japan-guide.com/e/e2323.html,,
Guide to Train Tickets,https://www.japan-guide.com/e/e2359.html,,
Rail Passes,https://www.japan-guide.com/e/e2357.html,,
Japan Rail Pass,https://www.japan-guide.com/e/e2361.html,,
Rail Pass Calculator,https://www.japan-guide.com/railpass/,,
Seishun 18 Kippu,https://www.japan-guide.com/e/e2362.html,,
International Air Travel,https://www.japan-guide.com/e/e2034.html,,
Domestic Air Travel,https://www.japan-guide.com/e/e2365.html,,
Discount Air Tickets,https://www.japan-guide.com/e/e2364.html,,
Narita Airport (Tokyo),https://www.japan-guide.com/e/e2027.html,,
Haneda Airport (Tokyo),https://www.japan-guide.com/e/e2430.html,,
Kansai Airport (Osaka),https://www.japan-guide.com/e/e2033.html,,
Itami Airport (Osaka),https://www.japan-guide.com/e/e2433.html,,
Central Japan Airport (Nagoya),https://www.japan-guide.com/e/e2431.html,,
New Chitose Airport (Sapporo),https://www.japan-guide.com/e/e2435.html,,
Kobe Airport,https://www.japan-guide.com/e/e2432.html,,
Komatsu Airport (Kanazawa),https://www.japan-guide.com/e/e4282.html,,
Shizuoka Airport,https://www.japan-guide.com/e/e2434.html,,
Bus,https://www.japan-guide.com/e/e2015.html,,
Highway Bus,https://www.japan-guide.com/e/e2366.html,,
Japan Bus Pass,https://www.japan-guide.com/e/e2369.html,,
Domestic Ferries,https://www.japan-guide.com/e/e2355.html,,
Car Rental,https://www.japan-guide.com/e/e2024.html,,
Driving in Japan,https://www.japan-guide.com/e/e2022.html,,
Highways,https://www.japan-guide.com/e/e2354.html,,
Taxi,https://www.japan-guide.com/e/e2021.html,,
Bicycles,https://www.japan-guide.com/e/e2210.html,,
Transportation in Tokyo,https://www.japan-guide.com/e/e2017.html,,
Transportation in Sapporo,https://www.japan-guide.com/e/e5306.html,,
Transportation in Yokohama,https://www.japan-guide.com/e/e2360.html,,
Transportation in Nagoya,https://www.japan-guide.com/e/e3302.html,,
Transportation in Osaka,https://www.japan-guide.com/e/e4006.html,,
Transportation in Kyoto,https://www.japan-guide.com/e/e2363.html,,
Transportation in Kobe,https://www.japan-guide.com/e/e3554.html,,
Transportation in Hiroshima,https://www.japan-guide.com/e/e3404.html,,
Transportation in Fukuoka,https://www.japan-guide.com/e/e4802.html,,
Rush hours,https://www.japan-guide.com/e/e2020.html,,
Budget Travel,https://www.japan-guide.com/e/e2028.html,,
Tour Packages,https://www.japan-guide.com/e/e2275.html,,
When to Travel,https://www.japan-guide.com/e/e2273.html,,
Event Calendar,https://www.japan-guide.com/event/,,
Immigration & Visas,https://www.japan-guide.com/e/e2221.html,,
Money,https://www.japan-guide.com/e/e2196.html,,
Travel on a budget,https://www.japan-guide.com/e/e2028.html,,
Internet,https://www.japan-guide.com/e/e2279.html,,
Phones,https://www.japan-guide.com/e/e2223.html,,
Luggage,https://www.japan-guide.com/e/e2274.html,,
Travel with Children,https://www.japan-guide.com/e/e2460.html,,
Muslim Travelers,https://www.japan-guide.com/e/e2302.html,,
Accessible Travel,https://www.japan-guide.com/e/e2301.html,,
Ryokan,https://www.japan-guide.com/e/e2029.html,,
Minshuku,https://www.japan-guide.com/e/e2026.html,,
Business Hotels,https://www.japan-guide.com/e/e2025_business_hotels.html,,
Pensions,https://www.japan-guide.com/e/e2025_pension.html,,
Hostels,https://www.japan-guide.com/e/e2030.html,,
Capsule Hotels,https://www.japan-guide.com/e/e2025_capsule_hotels.html,,
Temple Lodgings,https://www.japan-guide.com/e/e2025_temple_lodgings.html,,
Manga Cafes,https://www.japan-guide.com/e/e2025_manga_kissa.html,,
Vacation Rentals,https://www.japan-guide.com/e/e2025_vacation_rentals.html,,
Etiquette,https://www.japan-guide.com/e/e622.html,,
History,https://www.japan-guide.com/e/e641.html,,
Religion,https://www.japan-guide.com/e/e629.html,,
Traditional Arts and Crafts,https://www.japan-guide.com/e/e639.html,,
Language,https://www.japan-guide.com/e/e621.html,,
Entertainment and Sports,https://www.japan-guide.com/e/e631.html,,
Immigration,https://www.japan-guide.com/e/e2221.html,,
Working Holiday,https://www.japan-guide.com/e/e2350.html,,
Working in Japan,https://www.japan-guide.com/e/e2231.html,,
Teaching Languages,https://www.japan-guide.com/e/e2220.html,,
Studying in Japan,https://www.japan-guide.com/e/e2232.html,,
Language Schools,https://www.japan-guide.com/school/,,
Guesthouses,https://www.japan-guide.com/e/e2032.html,,
Finding an apartment,https://www.japan-guide.com/e/e2200.html,,
Japanese Apartments,https://www.japan-guide.com/e/e2207.html,,
Utilities,https://www.japan-guide.com/e/e2201.html,,
Electricity,https://www.japan-guide.com/e/e2225.html,,
Furniture,https://www.japan-guide.com/e/e2007.html,,
Garbage Disposal,https://www.japan-guide.com/e/e2222.html,,
Taxes,https://www.japan-guide.com/e/e2206.html,,
Cost of Living,https://www.japan-guide.com/e/e2202.html,,
Banking,https://www.japan-guide.com/e/e2226.html,,
Postal Services,https://www.japan-guide.com/e/e2224.html,,
Delivery Services,https://www.japan-guide.com/e/e2278.html,,
Telephones,https://www.japan-guide.com/e/e2223_top.html,,
Mobile Phones,https://www.japan-guide.com/e/e2223.html,,
