title,url,heads,bolds
Trains,https://www.japan-guide.com/e/e2019.html,"['Trains', 'Japan Railways (JR)', 'Private Railway Companies', 'Kanto']",[]
Shinkansen,https://www.japan-guide.com/e/e2018.html,"['Shinkansen', 'Shinkansen Network', 'Shinkansen Tickets', 'Seat Classes', 'Ordinary', 'Green Car', 'Reserved vs. non-reserved cars', 'Regular Tickets', 'IC Cards', 'Rail Passes', 'Other discount tickets', 'Seat Reservations', 'When and where can I make seat reservations?', 'At a ticket counter', 'At a vending machine', 'Online', 'What information is needed to make a seat reservation?']","['shinkansen', 'Gran Class', 'Base fare', 'Shinkansen supplement (limited express fee)', 'Seat reservation fee', 'Green car fee']"
Night Trains,https://www.japan-guide.com/e/e2356.html,"['Night Trains', '\n\t\t\tBook\n\t\t\tyour trip']",[]
Taking the train,https://www.japan-guide.com/e/e2016.html,"['4) Entering the paid fare zone', '5) Station platforms', '6) Riding the train', '7) At the destination station', '\n\t\t\tBook\n\t\t\tyour trip']",[]
Timetables,https://www.japan-guide.com/e/e2323.html,"['Train Timetables and Route Finders', 'Hyperdia', 'Simple Search Options', 'Advanced Search Options', 'Understanding the Results', 'Route Summary', 'Departure Station Information']","['From', 'To', 'Date', 'Time', 'Type', 'SearchDetails', 'Pass1 - Pass3', 'Order', 'Route Outputs', 'Airplane', 'Airport Shuttle Bus', 'Bullet Train', 'NOZOMI/MIZUHO/HAYABUSA', 'Limited Express', 'Express', 'Liner', 'Walk', 'Sleeper Limited Express/Express', 'Ordinary Train', 'Japan Railway (JR)', 'Private Railway', 'Take Time', 'Transfer', 'Distance', 'Total', 'Fare', 'Seat Fee', 'Fare', 'Seat Fee']"
Guide to Train Tickets,https://www.japan-guide.com/e/e2359.html,['Guide to Japanese Train Tickets'],"['Regular Train Tickets', 'IC Cards', 'Rail Passes', 'City Passes']"
Rail Passes,https://www.japan-guide.com/e/e2357.html,['Rail Passes'],"['Nationwide', '\nJapan Rail Pass \n\xa0\xa0click here for details']"
Japan Rail Pass,https://www.japan-guide.com/e/e2361.html,"['Japan Rail Pass (JR Pass)', 'Validity', 'Upgrading to Nozomi or Mizuho possible?', 'Green vs. Ordinary', 'Upgrading to Green Car possible?', 'Can the pass be shared or transfered?', 'Validity: Calendar Days or 24-Hour Periods?', 'What happens if I am on a train when the pass expires at midnight?', 'Purchase and Exchange']","['JR trains', 'Tokyo Monorail to/from Haneda Airport', 'JR Ferry to Miyajima', 'Some non-JR trains to access isolated JR lines', 'Local JR buses', 'Nozomi trains along the Tokaido/Sanyo Shinkansen', 'Mizuho trains along the Sanyo/Kyushu Shinkansen', 'JR trains using non-JR tracks', 'Special compartments and berth', 'Trains requiring Liner Tickets', 'Highway buses', 'Free Seat Reservations', 'Discounts at JR affiliated hotels', 'Purchase the Japan Rail Pass', '\nCost of the pass if purchased inside Japan\n(until March 31, 2019)\n']"
Rail Pass Calculator,https://www.japan-guide.com/railpass/,"['Would a Japan Rail Pass pay off for your trip itinerary?', '\n\t\t\tBook\n\t\t\tyour trip']","['Costs above are approximate.', 'Note:']"
Seishun 18 Kippu,https://www.japan-guide.com/e/e2362.html,"['Eligibility', 'Use', 'Where is it sold?', 'What does the ticket look like?', 'Can it be shared?', 'How to use it?', 'When is it valid?', 'Which trains can be used?', 'Is it possible to use the ticket on trains between Honshu and Hokkaido?', 'Is it practical to travel long distances by local trains?', 'How do I look up timetables?', 'Links and Resources']","['local trains', 'rapid trains', 'by Japan Railways (JR)', 'not']"
International Air Travel,https://www.japan-guide.com/e/e2034.html,"['International Air Travel', 'Airfare', 'Airlines and Airports', '\n\t\t\tBook\n\t\t\tyour trip']",[]
Domestic Air Travel,https://www.japan-guide.com/e/e2365.html,"['Airports', 'Airfare']","['not available*', '*', '\nRoute\n']"
Discount Air Tickets,https://www.japan-guide.com/e/e2364.html,"['Discount Air Tickets', 'Special fares and air passes for foreign visitors', 'Budget Airlines']","['\nJAL Japan Explorer Pass\n', '\nANA Experience Japan Fare\n', '\nOneworld Yokoso Visit Japan Fare\n', '\nJAL Welcome to Japan Fare\n', '\nStar Alliance Japan Airpass\n', '\nANA Visit Japan Fare\n']"
